first_name,last_name,email,password,is_admin
Kemp,Dewulf,kemp.dewulf@outlook.com,admin,1
Alice,Johnson,alice.johnson@example.com,password123,0
John,Doe,john.doe@example.com,securepwd,0
Emily,Smith,emily.smith@example.com,pass123word,0
Michael,Anderson,michael.anderson@example.com,letmein,0
Sarah,Williams,sarah.williams@example.com,summer2023,0
David,Brown,david.brown@example.com,bluebird45,0
Laura,Miller,laura.miller@example.com,purple123,0
Daniel,Clark,daniel.clark@example.com,soccer17,0
Sophia,Roberts,sophia.roberts@example.com,redapple88,0
